week,games,wins,losses,pushes,accuracy
-1,1505,1072,429,2,0.714
0,753,536,215,1,0.714
1,39,29,10,0,0.744
2,49,37,11,1,0.771
3,52,40,12,0,0.769
4,54,39,15,0,0.722
5,53,37,15,0,0.712
6,49,35,14,0,0.714
7,52,34,18,0,0.654
8,59,41,18,0,0.695
9,56,45,11,0,0.804
10,48,29,19,0,0.604
11,50,38,12,0,0.76
12,53,39,14,0,0.736
13,62,46,16,0,0.742
14,67,42,25,0,0.627
15,9,5,4,0,0.556
