week,home_team,away_team,UPA_pred_spread_home_minus_away,baseline_power_diff,HFA_points,market_spread_home_minus_away,sportsbook,as_of,value_edge_points
Week 1 (Aug 28-Sept 1),USF,Boise State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Texas A&M,UTSA,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Delaware,Delaware State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Florida International,Bethune-Cookman,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ UCF,Jacksonville State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Wake Forest,Kennesaw State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Liberty,Maine,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Louisiana Tech,Southeastern LA,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Middle Tennessee,Austin Peay,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ USC,Missouri State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),New Mexico State,Bryant,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Sam Houston,UNLV,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Utah State,UTEP,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Western Kentucky,North Alabama,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Akron,Wyoming,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Purdue,Ball State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Bowling Green,Lafayette,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Minnesota,Buffalo,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Central Michigan,San Jose State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Texas State,Eastern Michigan,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Kent State,Merrimack,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Wisconsin,Miami (OH),2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Northern Illinois,Holy Cross,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Rutgers,Ohio,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Kentucky,Toledo,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),UMass,Temple,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Michigan State,Western Michigan,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Air Force,Bucknell,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ USF,Boise State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Fresno State,Georgia Southern,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Arizona,Hawaii,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Penn State,Nevada,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Michigan,New Mexico,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),San Diego State,Stony Brook,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),San Jose State,Central Michigan,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Sam Houston,UNLV,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Utah State,UTEP,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Akron,Wyoming,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Washington State,Idaho,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Arkansas State,Southeast Missouri,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Virginia,Coastal Carolina,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Fresno State,Georgia Southern,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Ole Miss,Georgia State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),James Madison,Weber State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Louisiana,Rice,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Louisiana Monroe,Saint Francis,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Georgia,Marshall,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Indiana,Old Dominion,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),South Alabama,Morgan State,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Texas State,Eastern Michigan,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Troy,Nicholls,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),UConn,Central Connecticut,2.5,0.0,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Boston College,Fordham,1.79,-0.71,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Clemson,LSU,1.79,-0.71,2.5,3.5,FanDuel,2025-08-31 21:45 UTC,-1.71
Week 1 (Aug 28-Sept 1),Wake Forest,Kennesaw State,-1.72,-4.22,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Cincinnati,vs Nebraska,0.0,0.0,0.0,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Charlotte,vs Appalachian State,0.0,0.0,0.0,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Appalachian State,vs Charlotte,0.0,0.0,0.0,,FanDuel,2025-08-31 21:45 UTC,
