event_id,date,state,detail,clock,period,venue,home_team,away_team,home_school,away_school,home_points,away_points
401756899,2025-09-20T22:00Z,post,Final,0:00,4,David Booth Kansas Memorial Stadium,Kansas Jayhawks,West Virginia Mountaineers,Kansas,West Virginia,41,10
401757259,2025-09-20T22:00Z,post,Final,0:00,4,Pitbull Stadium,Florida International Panthers,Delaware Blue Hens,Florida International,Delaware,16,38
401757261,2025-09-20T22:00Z,post,Final,0:00,4,Fifth Third Stadium,Kennesaw State Owls,Arkansas State Red Wolves,Kennesaw State,Arkansas State,28,21
401762821,2025-09-20T22:00Z,post,Final,0:00,4,InfoCision Stadium,Akron Zips,Duquesne Dukes,Akron,Duquesne,51,7
401757260,2025-09-20T23:00Z,post,Final,0:00,4,AmFirst Stadium,Jacksonville State Gamecocks,Murray State Racers,Jacksonville State,Murray State,45,10
401757264,2025-09-20T23:00Z,post,Final,0:00,4,"Johnny ""Red"" Floyd Stadium",Middle Tennessee Blue Raiders,Marshall Thundering Herd,Middle Tennessee,Marshall,28,42
401757265,2025-09-20T23:00Z,post,Final,0:00,4,Robert W. Plaster Stadium,Missouri State Bears,UT Martin Skyhawks,Missouri State,UT Martin,42,10
401757268,2025-09-20T23:00Z,post,Final,0:00,4,Houchens Industries-L.T. Smith Stadium,Western Kentucky Hilltoppers,Nevada Wolf Pack,Western Kentucky,Nevada,31,16
401760372,2025-09-20T23:00Z,post,Final,0:00,4,Falcon Stadium,Air Force Falcons,Boise State Broncos,Air Force,Boise State,37,49
401761609,2025-09-20T23:00Z,post,Final,0:00,4,Allen E. Paulson Stadium,Georgia Southern Eagles,Maine Black Bears,Georgia Southern,Maine,45,17
401761611,2025-09-20T23:00Z,post,Final,0:00,4,Hancock Whitney Stadium,South Alabama Jaguars,Coastal Carolina Chanticleers,South Alabama,Coastal Carolina,20,38
401752842,2025-09-20T23:30Z,post,Final,0:00,4,Martin Stadium,Washington State Cougars,Washington Huskies,Washington State,Washington,24,59
401754539,2025-09-20T23:30Z,post,Final,0:00,4,Scott Stadium,Virginia Cavaliers,Stanford Cardinal,Virginia,Stanford,48,20
401756896,2025-09-20T23:30Z,post,Final,0:00,4,McLane Stadium,Baylor Bears,Arizona State Sun Devils,Baylor,Arizona State,24,27
401756898,2025-09-20T23:30Z,post,Final,0:00,4,Dowdy-Ficklen Stadium,East Carolina Pirates,BYU Cougars,East Carolina,BYU,13,34
401757263,2025-09-20T23:30Z,post,Final,0:00,4,Joe Aillet Stadium,Louisiana Tech Bulldogs,Southern Miss Golden Eagles,Louisiana Tech,Southern Miss,30,20
401760377,2025-09-21T00:00Z,post,Final,0:00,4,Maverik Stadium,Utah State Aggies,McNeese Cowboys,Utah State,McNeese,48,7
401761612,2025-09-21T00:00Z,post,Final,0:00,4,UFCU Stadium,Texas State Bobcats,Nicholls Colonels,Texas State,Nicholls,35,3
401757267,2025-09-21T01:00Z,post,Final,0:00,4,Sun Bowl,UTEP Miners,UL Monroe Warhawks,UTEP,UL Monroe,25,31
