game_id,week,home_team,away_team,spread
401756880,2,Cincinnati,Bowling Green,
401754526,2,BYU,Stanford,
401756883,2,Ohio,West Virginia,
401752693,2,Texas,San José State,
401754524,2,NC State,Virginia,
401752694,2,Texas A&M,Utah State,
401752682,2,Arkansas,Arkansas State,
401762461,2,Western Michigan,North Texas,
401756884,2,Rice,Houston,
401761598,2,Georgia State,Memphis,
401752820,2,Wisconsin,Middle Tennessee,
401752818,2,Rutgers,Miami (OH),
401752824,2,Oregon,Oklahoma State,
401757228,2,Marshall,Missouri State,
401756881,2,Colorado,Delaware,
401752937,2,Oregon State,Fresno State,
401754637,2,Clemson,Troy,
401762458,2,Navy,UAB,
401756882,2,Kansas State,Army,
401761601,2,South Alabama,Tulane,
401752687,2,LSU,Louisiana Tech,
401752814,2,USC,Georgia Southern,
401752683,2,Auburn,Ball State,
401757232,2,Toledo,Western Kentucky,
401752810,2,Nebraska,Akron,
401752681,2,Alabama,UL Monroe,
401757229,2,New Mexico State,Tulsa,
401757230,2,Hawai'i,Sam Houston,
401752695,2,Virginia Tech,Vanderbilt,
401760363,2,Boise State,Eastern Washington,
401752817,2,Northwestern,Western Illinois,
401752813,2,Minnesota,Northwestern State,
401762462,2,Temple,Howard,
401752692,2,Tennessee,East Tennessee State,
401752685,2,Georgia,Austin Peay,
401762459,2,East Carolina,Campbell,
401760367,2,Wyoming,Northern Iowa,
401760366,2,New Mexico,Idaho State,
401762794,2,Buffalo,St. Francis (PA),
401761602,2,Southern Miss,Jackson State,
401761599,2,Old Dominion,North Carolina Central,
401762460,2,Florida Atlantic,Florida A&M,
401756887,2,Utah,Cal Poly,
401757231,2,UTEP,UT Martin,
401761597,2,Coastal Carolina,Charleston Southern,
401761600,2,Louisiana,McNeese,
401752819,2,Purdue,Southern Illinois,
401754620,2,Wake Forest,Western Carolina,
401752815,2,Ohio State,Grambling,
401761596,2,App State,Lindenwood,
401754622,2,Georgia Tech,Gardner-Webb,
401754530,2,California,Texas Southern,
401762795,2,Eastern Michigan,Long Island University,
401756879,2,Arizona,Weber State,
401760365,2,Nevada,Sacramento State,
